_id,Name,Titles,Release Dates,Years,Counts
ObjectId("5dcf55126d54444f0abe42fe"),JONATHAN,"["Man of Steel","Doctor Strange","Stranger Things"]","["2013-06-12","2016-10-25","2016-07-15"]","[2005,2006,2007,2008,2009,2010,2011,2012]","[2631,2617,2489,2302,2053,1980,1867,1722]"
ObjectId("5dcf55126d54444f0abe42ff"),KEVIN,"["Despicable Me 2","Chicago P.D.","This Is Us","Riverdale","13 Reasons Why"]","["2013-06-25","2014-01-08","2016-09-20","2017-01-26","2017-03-31"]","[2005,2006,2007,2008]","[2188,2043,2080,1912]"
ObjectId("5dcf55126d54444f0abe4300"),ANDREA,"["The Conjuring"]","["2013-03-20"]","[2005,2006,2007,2008,2009,2011]","[1197,1308,1261,1101,1044,924]"
ObjectId("5dcf55126d54444f0abe4301"),RYAN,"["Texas Chainsaw 3D","Whiplash","13 Reasons Why"]","["2013-01-03","2014-10-10","2017-03-31"]","[2005,2006,2007,2008]","[2323,2043,1966,1828]"
ObjectId("5dcf55126d54444f0abe4302"),ANDREW,"["Whiplash","Big Mouth"]","["2014-10-10","2017-09-29"]","[2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015]","[3136,3114,3013,2825,2575,2371,2276,2134,1917,1901,1602]"
ObjectId("5dcf55126d54444f0abe4303"),ABIGAIL,"["Big Hero 6"]","["2014-10-24"]","[2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017]","[1368,1474,1432,1564,1546,1610,1553,1638,1486,1521,1762,1583,1544]"
ObjectId("5dcf55126d54444f0abe4304"),EMMA,"["Fury"]","["2014-10-15"]","[2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017]","[1626,1540,1620,1734,1701,1768,2107,2423,2466,2666,2694,2581,2734]"
ObjectId("5dcf55126d54444f0abe4305"),SARAH,"["Terminator Genisys","Chicago Med"]","["2015-06-23","2015-11-17"]","[2005,2006]","[1208,1152]"
ObjectId("5dcf55126d54444f0abe4306"),JAMES,"["Avengers: Age of Ultron","Kong: Skull Island","Gotham","Power","Supergirl","The End of the F***ing World"]","["2015-04-22","2017-03-08","2014-09-22","2014-06-07","2015-10-26","2017-10-24"]","[2014,2015,2016,2017]","[1575,1530,1620,1508]"
ObjectId("5dcf55126d54444f0abe4307"),LUIS,"["Ant-Man"]","["2015-07-14"]","[2005,2006,2007]","[1987,2058,1998]"
ObjectId("5dcf55126d54444f0abe4308"),VANESSA,"["Deadpool"]","["2016-02-09"]","[2005,2007,2008]","[1151,1204,1027]"
ObjectId("5dcf55126d54444f0abe4309"),ANGEL,"["X-Men: Apocalypse"]","["2016-05-18"]","[2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015]","[3538,3706,3520,3189,3021,2543,2152,1940,1753,1642,1525]"
ObjectId("5dcf55126d54444f0abe430a"),BENJAMIN,"["London Has Fallen"]","["2016-03-02"]","[2011,2012,2013,2014,2015,2016,2017]","[1582,1663,1841,1869,1813,1910,1850]"
ObjectId("5dcf55126d54444f0abe430b"),SEBASTIAN,"["La La Land","NCIS: New Orleans"]","["2016-11-29","2014-09-23"]","[2013,2014,2015,2016,2017]","[1650,2015,2064,2254,2267]"
ObjectId("5dcf55126d54444f0abe430c"),MIA,"["La La Land"]","["2016-11-29"]","[2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017]","[2172,2425,2054,1834,2098,1999,2291,2307,2579,2608,2846,2788,2581]"
ObjectId("5dcf55126d54444f0abe430d"),ALEXIS,"["La La Land"]","["2016-11-29"]","[2005,2009]","[1201,977]"
ObjectId("5dcf55126d54444f0abe430e"),ADRIAN,"["Spider-Man: Homecoming"]","["2017-07-05"]","[2006,2007,2008,2009,2010,2011,2012,2013,2014,2015]","[2104,2144,2134,2093,1957,1804,1782,1673,1572,1514]"
