,title,release_date,characters,YEAR,Gender,RANK,Name,Count
0,Man of Steel,2013-06-12,JONATHAN,2005,Male,11,JONATHAN,2631
1,Man of Steel,2013-06-12,JONATHAN,2006,Male,13,JONATHAN,2617
2,Man of Steel,2013-06-12,JONATHAN,2007,Male,15,JONATHAN,2489
3,Man of Steel,2013-06-12,JONATHAN,2008,Male,15,JONATHAN,2302
4,Man of Steel,2013-06-12,JONATHAN,2009,Male,18,JONATHAN,2053
5,Man of Steel,2013-06-12,JONATHAN,2010,Male,16,JONATHAN,1980
6,Man of Steel,2013-06-12,JONATHAN,2011,Male,17,JONATHAN,1867
7,Man of Steel,2013-06-12,JONATHAN,2012,Male,19,JONATHAN,1722
8,Doctor Strange,2016-10-25,JONATHAN,2005,Male,11,JONATHAN,2631
9,Doctor Strange,2016-10-25,JONATHAN,2006,Male,13,JONATHAN,2617
10,Doctor Strange,2016-10-25,JONATHAN,2007,Male,15,JONATHAN,2489
11,Doctor Strange,2016-10-25,JONATHAN,2008,Male,15,JONATHAN,2302
12,Doctor Strange,2016-10-25,JONATHAN,2009,Male,18,JONATHAN,2053
13,Doctor Strange,2016-10-25,JONATHAN,2010,Male,16,JONATHAN,1980
14,Doctor Strange,2016-10-25,JONATHAN,2011,Male,17,JONATHAN,1867
15,Doctor Strange,2016-10-25,JONATHAN,2012,Male,19,JONATHAN,1722
16,Stranger Things,2016-07-15,JONATHAN,2005,Male,11,JONATHAN,2631
17,Stranger Things,2016-07-15,JONATHAN,2006,Male,13,JONATHAN,2617
18,Stranger Things,2016-07-15,JONATHAN,2007,Male,15,JONATHAN,2489
19,Stranger Things,2016-07-15,JONATHAN,2008,Male,15,JONATHAN,2302
20,Stranger Things,2016-07-15,JONATHAN,2009,Male,18,JONATHAN,2053
21,Stranger Things,2016-07-15,JONATHAN,2010,Male,16,JONATHAN,1980
22,Stranger Things,2016-07-15,JONATHAN,2011,Male,17,JONATHAN,1867
23,Stranger Things,2016-07-15,JONATHAN,2012,Male,19,JONATHAN,1722
24,Despicable Me 2,2013-06-25,KEVIN,2005,Male,20,KEVIN,2188
25,Despicable Me 2,2013-06-25,KEVIN,2006,Male,23,KEVIN,2043
26,Despicable Me 2,2013-06-25,KEVIN,2007,Male,20,KEVIN,2080
27,Despicable Me 2,2013-06-25,KEVIN,2008,Male,23,KEVIN,1912
28,Chicago P.D.,2014-01-08,KEVIN,2005,Male,20,KEVIN,2188
29,Chicago P.D.,2014-01-08,KEVIN,2006,Male,23,KEVIN,2043
30,Chicago P.D.,2014-01-08,KEVIN,2007,Male,20,KEVIN,2080
31,Chicago P.D.,2014-01-08,KEVIN,2008,Male,23,KEVIN,1912
32,This Is Us,2016-09-20,KEVIN,2005,Male,20,KEVIN,2188
33,This Is Us,2016-09-20,KEVIN,2006,Male,23,KEVIN,2043
34,This Is Us,2016-09-20,KEVIN,2007,Male,20,KEVIN,2080
35,This Is Us,2016-09-20,KEVIN,2008,Male,23,KEVIN,1912
36,Riverdale,2017-01-26,KEVIN,2005,Male,20,KEVIN,2188
37,Riverdale,2017-01-26,KEVIN,2006,Male,23,KEVIN,2043
38,Riverdale,2017-01-26,KEVIN,2007,Male,20,KEVIN,2080
39,Riverdale,2017-01-26,KEVIN,2008,Male,23,KEVIN,1912
40,13 Reasons Why,2017-03-31,KEVIN,2005,Male,20,KEVIN,2188
41,13 Reasons Why,2017-03-31,KEVIN,2006,Male,23,KEVIN,2043
42,13 Reasons Why,2017-03-31,KEVIN,2007,Male,20,KEVIN,2080
43,13 Reasons Why,2017-03-31,KEVIN,2008,Male,23,KEVIN,1912
44,The Conjuring,2013-03-20,ANDREA,2005,Female,22,ANDREA,1197
45,The Conjuring,2013-03-20,ANDREA,2006,Female,17,ANDREA,1308
46,The Conjuring,2013-03-20,ANDREA,2007,Female,20,ANDREA,1261
47,The Conjuring,2013-03-20,ANDREA,2008,Female,21,ANDREA,1101
48,The Conjuring,2013-03-20,ANDREA,2009,Female,20,ANDREA,1044
49,The Conjuring,2013-03-20,ANDREA,2011,Female,22,ANDREA,924
50,Texas Chainsaw 3D,2013-01-03,RYAN,2005,Male,17,RYAN,2323
51,Texas Chainsaw 3D,2013-01-03,RYAN,2006,Male,24,RYAN,2043
52,Texas Chainsaw 3D,2013-01-03,RYAN,2007,Male,24,RYAN,1966
53,Texas Chainsaw 3D,2013-01-03,RYAN,2008,Male,25,RYAN,1828
54,Whiplash,2014-10-10,RYAN,2005,Male,17,RYAN,2323
55,Whiplash,2014-10-10,RYAN,2006,Male,24,RYAN,2043
56,Whiplash,2014-10-10,RYAN,2007,Male,24,RYAN,1966
57,Whiplash,2014-10-10,RYAN,2008,Male,25,RYAN,1828
58,13 Reasons Why,2017-03-31,RYAN,2005,Male,17,RYAN,2323
59,13 Reasons Why,2017-03-31,RYAN,2006,Male,24,RYAN,2043
60,13 Reasons Why,2017-03-31,RYAN,2007,Male,24,RYAN,1966
61,13 Reasons Why,2017-03-31,RYAN,2008,Male,25,RYAN,1828
62,Whiplash,2014-10-10,ANDREW,2005,Male,7,ANDREW,3136
63,Whiplash,2014-10-10,ANDREW,2006,Male,6,ANDREW,3114
64,Whiplash,2014-10-10,ANDREW,2007,Male,6,ANDREW,3013
65,Whiplash,2014-10-10,ANDREW,2008,Male,7,ANDREW,2825
66,Whiplash,2014-10-10,ANDREW,2009,Male,8,ANDREW,2575
67,Whiplash,2014-10-10,ANDREW,2010,Male,9,ANDREW,2371
68,Whiplash,2014-10-10,ANDREW,2011,Male,9,ANDREW,2276
69,Whiplash,2014-10-10,ANDREW,2012,Male,10,ANDREW,2134
70,Whiplash,2014-10-10,ANDREW,2013,Male,12,ANDREW,1917
71,Whiplash,2014-10-10,ANDREW,2014,Male,12,ANDREW,1901
72,Whiplash,2014-10-10,ANDREW,2015,Male,20,ANDREW,1602
73,Big Mouth,2017-09-29,ANDREW,2005,Male,7,ANDREW,3136
74,Big Mouth,2017-09-29,ANDREW,2006,Male,6,ANDREW,3114
